Platform Temperature (K)	Lakeshore Temperature (K)	Capacitance
4.73152 8.49600	0.83068
5.23852	9.36807	0.83080
5.73747	10.23667	0.83089
6.19968	11.10587	0.83103
6.66780	11.97347	0.83115
7.12839	12.84167	0.83126
7.54718	13.71007	0.83136
7.99447	14.57800	0.83147
8.41143	15.44747	0.83158
8.83712	16.31547	0.83167
9.19952	17.18433	0.83174
9.62896	18.05233	0.83180
9.98524	18.92153	0.83184
10.40362	19.78933	0.83188
10.89744	20.65747	0.83191
11.40207	21.52647	0.83191
11.80872	22.39353	0.83189
12.10232	23.26220	0.83185
12.49131	24.13160	0.83178
12.80914	24.99787	0.83168
12.82438	25.00120	0.83014
13.12095	25.79067	0.83003
13.40667	26.57907	0.82993
13.78495	27.37007	0.82983
14.19689	28.15820	0.82974
14.59426	28.94940	0.82964
14.99902	29.73840	0.82956
15.40361	30.52360	0.82948
15.81305	31.37440	0.82933
16.18542	32.25620	0.82920
16.43022	32.61587	0.82932
16.77071	33.51920	0.82911
17.10828	34.60187	0.82905
17.37580	35.48593	0.82891
17.62287	36.17720	0.82876
17.88866	37.00333	0.82868
18.11091	37.64147	0.82857
18.30688	38.30953	0.82850
18.54874	39.12940	0.82841
18.75592	39.94567	0.82830
45.00026	47.03100	0.83034
55.00013	57.73100	0.83027
65.00006	68.39300	0.82977
75.00011	78.87500	0.82914
84.99987	89.15600	0.82832
95.00039	99.33400	0.82739
105.00038	109.34000	0.82645
114.99970	119.30000	0.82544
124.99950	129.11000	0.82441
134.99985	138.95000	0.82345
145.00019	148.67000	0.82259
155.00017	158.28000	0.82182
165.00081	167.93000	0.82114
175.00047	177.55000	0.82046
185.00015	187.16000	0.82011
194.99950	196.71000	0.81939
204.99999	206.20000	0.81788
215.00033	215.62000	0.81643
225.00060	224.99000	0.81560
234.99977	234.31000	0.81510
245.00068	243.41000	0.81465
254.99955	252.64000	0.81408
264.99938	261.96000	0.81341
274.99969	271.43000	0.81249
284.99925	278.42000	0.81173
294.99180	293.94000	0.80792
